productcode,productlink,sensordet,operatetemp,isp,filtervalue,sortmp,fpsdet,listid,productfilter,sensorformat,webstorelink,productdesc,chromedet,sortfps,connectordet,resolutiondet
e-CAM131_CUMI1335_MOD,/4k-camera-module.asp,AR1335,-30°C to 70°C,Yes,300-2000 fixed color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure ophthalmology dentistry assistive_technology dermatology biometrics_border_control smart_classrooms 1-1ps 1-32 yes camera-modules,13,120FPS,56,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp#CUMI1335,13MP 4K Camera Module,Color,120,MIPI CSI-2,13.0 MP
e-CAM130_CUMI1820_MOD,/13MP_MIPI_camera_module.asp,AR1820,-30°C to 70°C,Yes,fixed color 13mp mipi rolling hd ultra-hd onsemi 60fps without-enclosure plm 1-25ps 1-23 yes,13,72FPS,57,,1/2.3,/webstore.asp,13MP AR1820HS MIPI Camera Module,Color,72,MIPI CSI-2,13.0 MP
e-CAM130_MI1335_MOD,/13mp-onsemi-autofocus-mipi-camera-module.asp,AR1335,-30°C to 70°C,Yes,300-2000 auto color 13mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure assistive_technology dermatology industrial_tablets 1-1ps 1-32 yes camera-modules,13,120FPS,58,all camera-modules camera-modules2 high-resolution,1/3.2,/webstore.asp,13MP AutoFocus Camera Module,Color,120,MIPI CSI-2,13.0 MP
e-CAM82_CUMI0821_MOD,/camera-modules/4k-8mp-hdr-camera-module-ar0821-sensor.asp,AR0821,-30°C to 70°C,Yes,fixed color 8mp mipi rolling onsemi 30fps hd hdr ultra-hd without-enclosure 2-1ps 1-2 kiosk auto_farming parking_lot_management sports_broadcasting laboratory_equipment smart_traffic retail_store_automation yes camera-modules,8,30FPS,59,all camera-modules camera-modules2 high-resolution hdr,1/1.7,/webstore.asp,8MP (4K) HDR MIPI Camera Module,Color,30,MIPI CSI-2,8.0 MP
e-CAM85_CUMI0830C_MOD,/camera-modules/8mp-ar0830-camera-module.asp,AR0830,-30°C to 85°C,Yes,color 8mp mipi rolling onsemi 100fps without-enclosure yes camera-modules,8,120FPS,60,all camera-modules high-resolution,1/2.9,/webstore.asp,,Color,120,MIPI CSI-2,8.0 MP
e-CAM87_CUMI585_MOD,/camera-modules/sony-starvis-2-imx585-4k-camera-module.asp,IMX585,-30°C to 70°C,No,raw-bayer 8mp mipi rolling sonyStarvisTwo low-light 60fps without-enclosure no camera-modules,8,90FPS,61,all camera-modules,1/1.2,/webstore.asp,,RAW Bayer,90,MIPI CSI-2,8.0 MP
e-CAM521_CUMI568C_MOD,/camera-modules/5mp-sony-pregius-imx568-global-shutter-camera-module.asp,IMX568,-30°C to 75°C,No,raw-bayer 5mp mipi Global sonyPregiusS 60fps without-enclosure no camera-modules,5,79FPS,62,all camera-modules global-shutter,1/1.8,/webstore.asp,,RAW Bayer,79,MIPI CSI-2,5.0 MP
e-CAM55_CUMI0521_MOD,/5mp-ar0521-mipi-camera-module.asp,AR0521,-30°C to 70°C,Yes,fixed color 5mp mipi rolling onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd laboratory_equipment dermatology quality_control_inspection smart_checkout_and_carts yes camera-modules,5,100FPS,63,all camera-modules camera-modules2,1/2.5,/webstore.asp#cumi0521,5MP AR0521 MIPI Camera Module,Color,100,MIPI CSI-2,5.0 MP
e-CAM52A_MI5640_MOD,/ov5640-5mp-mipi-camera-module.asp,OV5640,-30°C to 70°C,Yes,auto color 5mp mipi rolling hd OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,64,,1/4,/webstore.asp,5 MP MIPI Camera Module,Color,60,MIPI CSI-2,5.0 MP
e-CAM52A_5640_MOD,/5MP-parallel-camera-module.asp,OV5640,-30°C to 70°C,Yes,auto color 5mp parallel rolling hd OmniVision 60fps without-enclosure handheld 1-4ps 1-4 yes,5,60FPS,65,,1/4,/webstore.asp,5 MP Parallel Camera Module,Color,60,Parallel,5.0 MP
e-CAM314_CUMI0341C_MOD,/camera-modules/3mp-ar0341at-150db-hdr-camera-module.asp,AR0341,-40°C to 80°C,Yes,raw-bayer 3mp mipi hdr rolling onsemi 60fps without-enclosure yes camera-modules,3,60FPS,66,all camera-modules hdr,1/3.6,/webstore.asp,,Color,60,MIPI CSI-2,3.0 MP
e-CAM31_MI0330_MOD,/ar0330-liquid-lens-camera-module.asp,AR0330,-30°C to 70°C,Yes,auto color 3-4mp mipi rolling low-light onsemi 60fps without-enclosure 2-2ps 1-3 yes,3,60FPS,67,,1/3,/webstore.asp,3.4 MP AF Liquid Lens Camera Module,Color,60,MIPI CSI-2,3.4 MP
e-CAM30A_CUMI0330_MOD,/ar0330-lowlight-cameramodule.asp,AR0330,-30°C to 70°C,Yes,fixed color ir 3-4mp mipi rolling low-light hd onsemi 60fps without-enclosure ophthalmology dentistry laboratory_equipment 2-2ps 1-3 yes,3,60FPS,68,,1/3,/webstore.asp#CU30AUSB_MOD,3.4 MP Low Light Camera Module,Color & NIR,60,MIPI CSI-2,3.4 MP
e-CAM227_CUMI2312C_MOD,/camera-modules/2mp-ov2312-global-shutter-rgb-ir-camera-module.asp,OV2312,-40°C to +80°C,Yes,2mp mipi color ir colornir fixed Global rgbir 2-1ps 30fps OmniVision without-enclosure yes camera-modules,2,36FPS,69,all camera-modules global-shutter,1/2.9,/webstore.asp,,Color & NIR,36,MIPI CSI-2,2.0 MP
e-CAM222_CUMI2311_MOD,/camera-modules/global-shutter-monochrome-camera-module.asp,OV2311,-30°C to 85°C,No,fixed monochrome 2mp mipi Global hd OmniVision 200fps 3ps 1-29 without-enclosure no camera-modules,2,280FPS,70,all camera-modules global-shutter,1/2.9,/webstore.asp,2.0 MP Monochrome MIPI Camera Module,Mono,280,MIPI CSI-2,2.0 MP
e-CAM217_CUMI0234_MOD,/camera-modules/ar0234-global-shutter-camera-module.asp,AR0234,-30°C to 70°C,Yes,fixed color 2mp mipi Global onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes camera-modules,2,120FPS,71,all camera-modules camera-modules2 global-shutter,1/2.6,/webstore.asp#cumi0234mod,Full HD Color Global Shutter Camera Module,Color,120,MIPI CSI-2,Full HD
e-CAM20_CU0230_MOD,/2mp-ar0230-hdr-camera-module-for-automotive.asp,AR0230AT,-40°C to 105°C,Yes,fixed color 2mp parallel hdr rolling 60fps without-enclosure onsemi low-light kiosk inside_vehicle auto_farming smart_surveillance smart_traffic smart_checkout_and_carts 3ps 1-27 yes,2,60FPS,72,all camera-modules2,1/2.7,/webstore.asp#CU0230_MOD,2MP Wide temperature Range Industrial grade Camera module,color,60,Parallel,Full HD
e-CAM180_CUMI1820_MOD,/camera-modules/ar1820-18mp-camera-module.asp,AR1820,-30°C to 70°C,No,fixed color 18mp mipi rolling hd ultra-hd onsemi 100fps without-enclosure 1-25ps 1-23 smart_surveillance no,18,119FPS,73,,1/2.3,/webstore.asp,18MP AR1820 MIPI Camera Module,Color,119,MIPI CSI-2,18.0 MP
e-CAM121_CUMI412C_MOD,/camera-modules/sony-imx412-12mp-camera-module.asp,IMX412,-20°C to 60°C,No,fixed color 12mp mipi rolling hd ultra-hd sony 200fps without-enclosure 1-55ps 1-23 no starvis camera-modules,12,240FPS,74,all camera-modules high-resolution,1/2.3,/webstore.asp,12.3 MP IMX412 MIPI Camera Module,Color,240,MIPI CSI-2,12.3 MP
e-CAM120_CUMI477C_MOD,/camera-modules/12mp-sony-imx477-camera-module.asp,IMX477,,No,fixed color 12mp mipi rolling hd ultra-hd sony 200fps without-enclosure 1-55ps 1-23 no exmor camera-modules,12,240FPS,75,all camera-modules high-resolution,1/2.3,/webstore.asp,12 MP IMX477 MIPI Camera Module,Color,240,MIPI CSI-2,12.3 MP
e-CAM519_CUMI335_MOD,/camera-modules/5mp-sony-starvis-imx335-camera-module.asp,IMX335,,No,fixed color 5mp mipi rolling hd sony 30fps without-enclosure 2ps 1-28 no starvis,5,30FPS,76,,1/2.8,/webstore.asp,,Color,30,MIPI CSI-2,5.0 MP
e-CAM200_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/20mp-ar2020-high-resolution-camera.asp,AR2020,-30°C to 70°C,No,fixed color colornir ir 20mp mipi rolling orinnx grr onsemi lt30fps without-enclosure 2-2ps 1-23 smart_surveillance no,20,29FPS,77,all nvidia-camera platform,1/1.8,/webstore.asp,20MP AR2020 high resolution camera for NVIDIA&reg; Jetson Orin NX / Orin Nano,Color & NIR,29,MIPI CSI-2,20.0 MP
e-CAM121_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/12mp-sony-starvis-imx412-ultra-low-light-camera.asp,IMX412,-20°C to 60°C,No,fixed color 13mp mipi rolling orinnx orinnano starvis 200fps without-enclosure 2-2ps 1-23 low-light hd smart_surveillance no,12.3,240FPS,78,platform,1/2.3,/webstore.asp#ecam80cunx,12MP Sony&reg; Starvis&trade; IMX412 Ultra Low Light Camera,Color,240,MIPI CSI-2,12.3 MP
e-CAM56_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/5mp-imx568-global-shutter-camera.asp,IMX568,-30°C to 70°C,No,raw-bayer 5mp mipi Global sonyPregiusS orinnx orinnano 60fps without-enclosure no camera-modules,5,90FPS,79,platform,1/1.8,/webstore.asp,,Color,90,MIPI CSI-2,5.0 MP
e-CAM50_CUONX&nbsp;&nbsp;(Orin NX/NANO),/nvidia-cameras/jetson-orin-nx-cameras/5mp-ar0521-color-camera.asp,AR0521,-30°C to 70°C,Yes,fixed color 5mp mipi rolling orinnx orinnano onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd smart_surveillance yes,5,100FPS,80,all nvidia-camera,1/2.5,/webstore.asp#e-CAM50_CUONX,5MP Camera for Jetson Orin NX/NANO,Color,100,MIPI CSI-2,5.0 MP
e-CAM84_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4k-onsemi-ar0830-camera.asp,AR0830,-30°C to 70°C,Yes,8mp mipi orinnx orinnano color fixed rolling 1-29 100fps without-enclosure yes onsemi,8,120FPS,81,platform,1/2.9,/webstore.asp,4K onsemi AR0830 Camera for NVIDIA&reg; Jetson Orin NX/Nano,Color,120,MIPI CSI-2,8.0 MP
e-CAM82_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4k-imx485-camera.asp,IMX485,-30°C to 70°C,Yes,8mp mipi orinnx orinnano color fixed rolling low-light 1-2 60fps without-enclosure yes starvis,8,90FPS,82,,1/2,/webstore.asp,4K Sony&reg; STARVIS&trade; IMX485 Camera for NVIDIA&reg; Jetson Orin NX/Nano,Color,90,MIPI CSI-2,8.4 MP
e-CAM81_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/ar0821-4k-hdr-camera.asp,AR0821,-30°C to 70°C,Yes,8mp mipi orinnx orinnano color fixed rolling hdr 1-17 60fps without-enclosure yes onsemi,8,60FPS,83,,1/1.7,/webstore.asp,4K HDR Camera for NVIDIA&reg; Jetson Orin NX/Nano,Color,60,MIPI CSI-2,8.0 MP
e-CAM80_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/4K-sony-starvis-imx415-ultra-low-light-camera.asp,IMX415,-30°C to 70°C,No,8mp mipi orinnx orinnano color fixed rolling low-light ultra-hd hd sony 1-45ps 60fps without-enclosure 1-28 autonomous_mobile_robots smart_traffic quality_control_inspection no starvis,8,70FPS,84,platform,1/2.8,/webstore.asp#ecam80cunx,Sony 4K Camera for NVIDIA&reg; Jetson Orin NX/Nano,Color,70,MIPI CSI-2,8.0 MP
e-CAM25_CUONX&nbsp;&nbsp;(Orin NX/Nano),/nvidia-cameras/jetson-orin-nx-cameras/full-hd-ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,fixed color 2mp mipi Global orinnx orinnano onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,85,all nvidia-camera platform,1/2.6,/webstore.asp#ecam25cuonx,Global Shutter Camera for Jetson Orin NX/NANO,Color,120,MIPI CSI-2,Full HD
e-CAM50_CUNX&nbsp;&nbsp;(Xavier NX/NANO),/nvidia-cameras/jetson-nx-cameras/5mp-mipi-camera-board.asp,AR0521,-30°C to 70°C,Yes,fixed color 5mp mipi rolling nx nano onsemi 100fps without-enclosure 2-2ps 1-25 low-noise hd smart_surveillance yes,5,100FPS,86,all nvidia-camera,1/2.5,/webstore.asp#5mpnxcamera,5MP Camera for Jetson Xavier NX/NANO,Color,100,MIPI CSI-2,5.0 MP
e-CAM80_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx415-4k-mipi-camera.asp,IMX415,-30°C to 70°C,No,8mp mipi nano nx color fixed rolling low-light ultra-hd hd sony 1-45ps 60fps without-enclosure 1-28 autonomous_mobile_robots smart_traffic quality_control_inspection no starvis,8,70FPS,87,platform,1/2.8,/webstore.asp#ecam80cunx,Sony 4K Camera for NVIDIA&reg; Jetson Xavier&trade; NX,Color,70,MIPI CSI-2,8.0 MP
e-CAM24_CUNX&nbsp;(Xavier NX/Nano/TX2 NX),/nvidia-cameras/jetson-xavier-nx-cameras/full-hd-xavier-nx-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,fixed color 2mp mipi Global nano tx2-nx nx onsemi hd 100fps without-enclosure 3ps 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,88,all nvidia-camera platform,1/2.6,/webstore.asp#24cunx,Global Shutter Camera for Jetson Xavier NX/TX2 NX/NANO,Color,120,MIPI CSI-2,Full HD
e-CAM131_CUNX&nbsp;&nbsp;(Xavier NX/NANO),/nvidia-cameras/jetson-xavier-nx-cameras/4k-camera-for-jetson-nano-xavier-nx.asp,AR1335,-30°C to 70°C,Yes,fixed color 13mp mipi rolling nx nano onsemi 100fps without-enclosure 1-1ps 1-32 hd ultra-hd yes 300-2000,13,115FPS,89,all nvidia-camera platform,1/3.2,/webstore.asp#13mpnxcamera,13MP Camera for Jetson Xavier NX/NANO,Color,115,MIPI CSI-2,13.0 MP
e-CAM23_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/2mp-ov2311-global-shutter-monochrome-camera.asp,OV2311,-30°C to 85°C,No,fixed monochrome 2mp mipi OmniVision Global 200fps without-enclosure NX low-light street_surveil ultra_lowlight 2-9ps 1-29 no,2,280FPS,90,platform,1/2.9,/webstore.asp,2MP Global Shutter Monochrome Camera for Jetson Xavier NX,Mono,280,MIPI CSI-2,2.0 MP
e-CAM22_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 85°C,No,fixed color 2mp mipi rolling low-light hd nx sony 60fps without-enclosure 2-9ps 1-28 smart_surveillance smart_traffic sports_broadcasting parking_lot_management ophthalmology no starvis,2,60FPS,91,,1/2.8,/webstore.asp#22cunx,Full HD IMX327 Camera for Jetson Xavier NX,Color,60,MIPI CSI-2,2.0 MP
e-CAM21_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/sony-imx327-ultra-low-light-camera.asp,IMX327,-30°C to 85°C,No,fixed color 2mp mipi rolling low-light hd nx sony 60fps without-enclosure 2-9ps 1-28 no starvis,2,60FPS,92,,1/2.8,/webstore.asp,Full HD IMX327 Camera for Jetson Xavier NX,Color,60,MIPI CSI-2,2.0 MP
e-CAM82_CUNX&nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/4k-sony-starvis-imx485-camera.asp,IMX485,-30°C to 70°C,No,fixed color 8mp mipi rolling sony starvis 60fps hd low-light with-enclosure 2-1ps 1-2 nx no,8,62FPS,93,,1/1.2,/webstore.asp,,Color,62,MIPI CSI-2,8.0 MP
e-CAM81_CUNX&nbsp;&nbsp;(Xavier NX/TX2 NX/Nano),/nvidia-cameras/jetson-tx2-nx-cameras/ar0821-8mp-hdr-camera.asp,AR0821,-30°C to 70°C,Yes,fixed color 8mp mipi rolling onsemi 30fps hd hdr ultra-hd without-enclosure 2-1ps 1-2 nano tx2-nx nx kiosk auto_farming parking_lot_management sports_broadcasting laboratory_equipment smart_traffic retail_store_automation yes,8,30FPS,94,all nvidia-camera platform,1/1.7,/webstore.asp#ecam81cunx,Four Synchronized Sony STARVIS&trade; IMX327 Ultra Low-Light MIPI Camera,Color,30,MIPI CSI-2,8.0 MP
e-CAM180_CUNX &nbsp;&nbsp;(Xavier NX),/nvidia-cameras/jetson-xavier-nx-cameras/18mp-camera-for-jetson-xavier-nx.asp,AR1820,-30°C to 70°C,No,fixed color 18mp mipi rolling nx onsemi 30fps without-enclosure 1-25ps 1-23 hd ultra-hd smart_surveillance no,18,59FPS,95,,1/2.3,/webstore.asp,13MP Camera for Jetson Xavier NX,Color,59,MIPI CSI-2,18.0 MP
e-CAM180_CUXVR &nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/six-synchronized-18mp-camera.asp,AR1820,-30°C to 70°C,No,fixed color 18mp mipi rolling xavier onsemi lt30fps without-enclosure ultra-hd hd smart_traffic street_surveil parking_lot_management 1-25ps 1-23 no,18,13FPS,96,,1/2.3,/webstore.asp,Six Synchronized 18MP Cameras for Jetson AGX Xavier&trade;,Color,13,MIPI CSI-2,18.0 MP
e-CAM130A_CUXVR_3H02R1&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/180-degree-4k-cameras.asp,AR1335,-20°C to 60°C,Yes,fixed color 13mp mipi rolling xavier onsemi 30fps without-enclosure ultra-hd smart_traffic sports_broadcasting autonomous_mobile_robots 1-1ps 1-32 yes,13,30FPS,97,all nvidia-camera platform,1/3.2,/webstore.asp,Multi-Camera solution with 180° image stitching,Color,30,MIPI CSI-2,13.0 MP
e-CAM81_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0821-4k-hdr-cameras.asp,AR0821,-30°C to 70°C,Yes,fixed color 8mp mipi rolling xavier hdr onsemi 60fps without-enclosure ultra-HD 2-1ps 1-2 yes,8,60FPS,98,all nvidia-camera platform,1/1.7,/webstore.asp#81CUXVR,4K HDR Cameras for Jetson AGX Xavier&trade;,Color,60,MIPI CSI-2,8.0 MP
e-CAM51_CUXVR&nbsp;&nbsp;(AGX Xavier),/aetina/jetson-agx-xavier-cameras/ar0521-5mp-synchronized-multi-camera.asp,AR0521,-30°C to 70°C,Yes,fixed color 5mp mipi rolling xavier onsemi 100fps without-enclosure  2-2ps 1-25 yes,5,100FPS,99,all nvidia-camera,1/2.5,/webstore.asp,,Color,100,MIPI CSI-2,5.0 MP
e-CAM25_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0234-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,2mp mipi xavier color fixed Global hd onsemi 100fps without-enclosure 3ps 1-26 smart_traffic auto_farming autonomous_mobile_robots yes,2,120FPS,100,all nvidia-camera platform,1/2.6,/webstore.asp,Synchronized Global Shutter Multi-Camera (AGX Xavier),Color,120,MIPI CSI-2,Full HD
e-CAM24_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/2mp-ov2311-global-shutter-monochrome-camera.asp,OV2311,-30°C to 85°C,No,fixed monochrome 2mp OmniVision mipi Global 200fps without-enclosure xavier low-light street_surveil ultra_lowlight 2-9ps 1-29 no,2,280FPS,101,platform,1/2.9,/webstore.asp,2MP Global Shutter Monochrome Camera (Xavier),Mono,280,MIPI CSI-2,2.0 MP
e-CAM23_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/sony-starvis-imx462-ultra-low-light-camera.asp,IMX462,-30°C to 85°C,No,fixed color sony 2mp mipi rolling 60fps without-enclosure xavier low-light smart_surveillance smart_traffic sports_broadcasting parking_lot_management ophthalmology 2-9ps 1-28 no starvis,2,60FPS,102,,1/2.8,/webstore.asp,2MP Global Shutter Monochrome Camera (Xavier),Color,60,MIPI CSI-2,Full HD
e-CAM22_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/sony-imx327-ultra-low-light-camera.asp,IMX327,-30°C to 85°C,No,fixed color 2mp mipi rolling low-light hd xavier sony 60fps without-enclosure 2-9ps 1-28 parking_lot_management quality_control_inspection sports_broadcasting no starvis,2,60FPS,103,,1/2.8,/webstore.asp,SONY IMX327 Camera for Jetson Xavier,Color,60,MIPI CSI-2,2.0 MP
NileCAM25_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0234-gmsl2-camera.asp,AR0234,-30°C to 70°C,Yes,fixed color 2mp gmsl Global xavier hd onsemi 100fps without-enclosure 1-26 autonomous_mobile_robots smart_traffic yes,2,120FPS,104,all nvidia-camera platform,1/2.6,/webstore.asp,Full HD GMSL2 Global Shutter camera,Color,120,GMSL2,Full HD
NileCAM21_CUXVR&nbsp;&nbsp;(AGX Xavier),/nvidia-cameras/jetson-agx-xavier-cameras/ar0233-gmsl2-camera.asp,AR0233AT,-40°C to 85°C,Yes,fixed color 2mp gmsl rolling xavier hdr hd onsemi 60fps without-enclosure 3ps 1-25 auto_farming fleet_management yes,2,60FPS,105,all nvidia-camera,1/2.5,/webstore.asp,Full HD GMSL2 Camera for Jetson AGX Xavier,Color,60,GMSL2,Full HD
NileCAM81_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-nano-cameras/ar0821-8mp-4k-hdr-gmsl2-camera.asp,AR0821,-30°C to 70°C,Yes,fixed color 8mp gmsl nx nano hd hdr rolling onsemi 30fps 3ps without-enclosure 1-2 autonomous_mobile_robots auto_farming yes,8,30FPS,106,all nvidia-camera platform,1/2,/webstore.asp,AR0821 4K HDR GMSL2 camera,Color,30,GMSL2,8.0 MP
NileCAM25_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/ar0234-full-hd-gmsl2-global-shutter-camera.asp,AR0234,-30°C to 70°C,Yes,fixed color 2mp gmsl Global nx nano hd onsemi 100fps 3ps without-enclosure 1-26 autonomous_mobile_robots auto_farming yes,2,120FPS,107,all nvidia-camera platform,1/2.6,/webstore.asp,AR0234CS Full HD GMSL2 Global Shutter camera,Color,120,GMSL2,Full HD
NileCAM20_CUNX&nbsp;&nbsp;(Xavier NX/Nano),/nvidia-cameras/jetson-xavier-nx-cameras/ar0230-full-hd-gmsl2-hdr-camera.asp,AR0230AT,-30°C to 70°C,Yes,fixed color 2mp gmsl rolling nx nano hd hdr onsemi 60fps 3ps without-enclosure 1-27 smart_traffic yes,2,60FPS,108,all nvidia-camera,1/2.7,/webstore.asp,AR0230 Full HD GMSL2 HDR camera for NVIDIA Jetson Xavier NX/Nano,Color,60,GMSL2,Full HD
